BusinessID,Cuisine,Rating,NumberOfReviews,Score,BestAnswer
YMtQ5NZY3WUn3tetby6Uog,"['Persian/Iranian', 'Halal']",4.5,285,0.642251194,1
Pv51B3SzP4OqUbJncEeF1g,['Indian'],3.5,178,0.605551064,1
TTwPVEHeSeyFMLF6cik8Lw,['Indian'],3,197,0.683330536,1
noBCTbD1Ylf5QR7PXy-rkA,['Himalayan/Nepalese'],4,578,0.68277204,1
O5MN8tijDGzJS8uin9zQ2Q,['Indian'],3.5,182,0.605551064,1
NzU2hb0z0jGEOOv0-zTLEQ,['Sri Lankan'],4,573,0.68277204,1
gc5VOvoqzM8UQJwV1mhdkA,['Indian'],3.5,285,0.638650239,1
JCewNUA2d-CHcVwz8ZbqlA,"['Kebab', 'Mediterranean', 'Halal']",4.5,214,0.686704636,1
3C6c_zqRz_U2AyeN_7LTsg,"['Himalayan/Nepalese', 'Indian']",4,578,0.68277204,1
_Hig4rf_SEAhq13eBdJ4CQ,['Indian'],3.5,328,0.638650239,1
WrMu2G5M2im56uYKTd4Bgw,"['Indian', 'Pakistani', 'Bangladeshi']",3,453,0.68277204,1
dGE1Imqoz1vdHa2cjfvO1w,['Indian'],4,348,0.638650239,1
PEEw2ip9VrmiMBP4b6op_g,"['Vegetarian', 'Vegan', 'Indian']",4.5,162,0.611376762,1
oSMFe-10TyH40NIXG0Zahw,"['Indian', 'Chinese', 'Halal']",3.5,386,0.68277204,1
3lzpz9U3xLuiBsefmxMzYQ,['Indian'],4,196,0.605551064,1
UtknyDJ_DPut-FKRqs0wpQ,"['Halal', 'Food Trucks', 'Street Vendors']",5,246,0.686704636,1
k1XZsff99d2JyX_jLwCaAA,"['Indian', 'Halal']",4,317,0.642251194,1
SB4t6vWpxlVQAfCQ3oC1BQ,"['Indian', 'Halal']",3.5,248,0.686704636,1
MP8Ey2ezsDCSowR-1X6hKg,"['Indian', 'Vegetarian', 'Vegan']",3.5,200,0.686704636,1
BxB7lV381jp5pmosnIBpGA,['Sri Lankan'],4.5,259,0.686704636,1
WSesw7dMYKmF3XHqD0K0WQ,['Indian'],3,243,0.683330536,1
x31Xmdw1ekbG-TdD8hT0_w,"['Indian', 'Halal']",2.5,215,0.686704636,1
cJfbydHniqWsGL2VHVDHEg,"['Indian', 'Halal', 'Beer, Wine & Spirits']",4,209,0.686704636,1
aFhnb8k6H-wD070vvxt4Fw,"['Indian', 'Pakistani', 'Bangladeshi']",4,146,0.611376762,1
IDEq8v88W58i2QZuNFjl-w,['Indian'],3.5,182,0.605551064,1
IpiGGEXxz-5QVJpijXVmmA,['Indian'],3.5,593,0.679375291,1
OxQ1lGq3uzl8_fgW67rXdQ,"['Indian', 'Vegetarian']",4,176,0.656462729,1
tXZOJhUUknjTRRo9j4ckZg,"['Uzbek', 'Russian', 'Halal']",4.5,141,0.611376762,1
dJmC6GmMgX3VLSdaLhcJdg,"['Indian', 'Buffets']",3.5,203,0.686704636,1
NqnCmOlPIJ_QBQzvZ28djA,"['Indian', 'Vegetarian']",3.5,401,0.68277204,1
maXkjUEZGWrKF7BFrrUUXQ,"['Indian', 'Halal']",4,237,0.686704636,1
T5aGLWBjIZoV0pSW80nJXA,"['Indian', 'Buffets', 'Caterers']",3.5,291,0.642251194,1
3Wu7lGDEwuP-5OW1rdg0OQ,"['Halal', 'Mediterranean', 'Middle Eastern']",4,151,0.611376762,1
SP-WFoCXb_uUTy0Kg1G03Q,"['Indian', 'Burgers', 'American (New)']",4,245,0.686704636,1
KXD44wWmrGf7mzyyr0bikw,['Vegetarian'],4,284,0.642251194,1
IFZ3_d01uflGixWrrD8_gg,"['Afghan', 'Halal', 'Kebab']",4,454,0.68277204,1
mc9lvusD4Na-KXT2z4ulzQ,"['Indian', 'Vegetarian']",4.5,199,0.686704636,1
P5mFtOSiQmplOj0yVP13PQ,['Indian'],3.5,372,0.679375291,1
CN-ZjeSCht_lOcEsuVSfgA,['Indian'],3.5,208,0.683330536,1
jvPYm9rYK-5ddnjU30Oz4Q,"['American (New)', 'Vegan', 'Vegetarian']",4.5,276,0.686704636,1
NKI1VvfXYluRjnq4S6yEuw,"['Vegan', 'Vegetarian']",4.5,278,0.686704636,1
j0n_poMVZnODYOFviLbh0Q,"['Vegetarian', 'Sandwiches', 'Falafel']",4.5,1467,0.68277204,1
xdioStDO8FAyQiZWHJiGZQ,['Indian'],4,187,0.605551064,1
1HCAu_tB8mzZ0qCFltGfew,"['Indian', 'Buffets']",3.5,222,0.686704636,1
9eZrG8nANKuoyGSqdj_gew,"['Indian', 'Halal']",4,182,0.656462729,1
uPW_isMEB92IDrX04pLK1g,"['Indian', 'Himalayan/Nepalese']",3.5,301,0.642251194,1
7rTl_d-dqlK5dGG31ogSBg,"['Indian', 'Thai', 'Chinese']",4,318,0.642251194,1
_2XWB0vPqUqkWdQuXfWi2w,['Indian'],3.5,259,0.683330536,1
IbB_7AxWQtDFW1iKnoD1Ug,"['Pakistani', 'Burgers', 'Halal']",4,280,0.686704636,1
VSPkVw9gSQx-5v4A6aC_YA,"['Lebanese', 'Halal', 'Sandwiches']",4.5,380,0.68277204,1
oZL2RilA-P-PgkMU0AdR-Q,['Indian'],3.5,195,0.605551064,1
HHkTmzDBE9sGWvtSW9Ne8A,"['Chinese', 'Indian', 'Seafood']",3.5,296,0.642251194,1
228DO__YwYmliMx6Q5jTtw,"['Mediterranean', 'Halal', 'Sandwiches']",4,502,0.68277204,1
3rZwXDjkyDLAHNSdPUI5WA,"['Bangladeshi', 'Buffets']",5,167,0.611376762,1
hmNxdAbt0tiGm8_vPdXCSA,"['Afghan', 'Seafood']",3.5,176,0.656462729,1
xWUL-j6TQyKQHIfOtetu-Q,"['Vegetarian', 'Korean', 'Vegan']",4,1075,0.68277204,1
DJSsqXhaP2C4wXG8EPL1bg,['Indian'],3.5,229,0.683330536,1
yC-GsIbqeQnoVd9LYiOabQ,"['Indian', 'Seafood', 'American (Traditional)']",3,192,0.656462729,1
7CM15wd5d8WC_pHR674YXA,"['Mediterranean', 'Vegetarian', 'Kosher']",4,673,0.68277204,1
eeGh0KSBTBEeHzL3wSbdWg,"['Indian', 'Buffets']",3.5,145,0.611376762,1
DTxsUnrcAQO-OXwwypPZjQ,"['Indian', 'Pakistani']",3.5,194,0.656462729,1
MidK0WWI0_1tZL8AuR7Jhw,"['Vegetarian', 'Vegan', 'Gluten-Free']",4,1272,0.68277204,1
5iKAeJ8RVrNGRUNy-355jQ,['Indian'],3.5,342,0.638650239,1
IJg3TdXz8IzKTfcspmr8MQ,"['Vegan', 'Soul Food', 'Kosher']",4,987,0.68277204,1
rp_TaJRjaNmOCb8vJ2S_sw,['Vegan'],4,320,0.642251194,1
zBf-m72ATTPTey-_9vu3Yw,"['Vegan', 'Cafes']",4,1180,0.68277204,1
cuUmPDEY-1KXzShGdpsqag,"['Turkish', 'Mediterranean', 'Halal']",4,536,0.68277204,1
yb9o5T88FPUXYOzxyXlUcw,"['Indian', 'Vegetarian', 'Vegan']",4,226,0.686704636,1
ugYhnKrr3Q1TVV15R0EEWQ,"['Turkish', 'Mediterranean', 'Halal']",4,389,0.68277204,1
Ohi-o00luDtU7TMpVtJHJw,"['Vegetarian', 'Vegan']",4,982,0.68277204,1
1gK-0_lGqjxbwiHWcXXdzg,"['American (New)', 'Bars', 'Vegan']",4,370,0.68277204,1
w5OkGoc_gcA3EA399aV1Jg,"['Indian', 'Vegetarian']",3.5,157,0.611376762,1
L6DAp6L1ZJKeeDN2PwoOLQ,"['Middle Eastern', 'Food Trucks', 'Halal']",4.5,209,0.686704636,1
U7QMrNTwRrPJ__0jbb6EYQ,"['Indian', 'Vegetarian']",3.5,272,0.686704636,1
yVvx0wKmBplFlMd9z10Ytw,"['Indian', 'Desserts']",3.5,250,0.686704636,1
lPvxWBM1ruaUtOr7gI-yrA,['Indian'],4,241,0.683330536,1
5mOzZ17qU_8ijlP54Q206Q,"['African', 'Halal']",4.5,163,0.611376762,1
NHoKf98A1Hi8htHEfeptgw,"['Indian', 'Seafood']",4,141,0.611376762,1
u_j2PopX_tFfQvrlerjmmA,"['Indian', 'Halal', 'Vegetarian']",3,144,0.611376762,1
dzI6MzwKbrhJN5dEeUbX0w,"['Mediterranean', 'Middle Eastern', 'Vegetarian']",4,602,0.68277204,1
til9hZedX5st86EamUudMA,"['Desserts', 'Candy Stores', 'Indian']",3.5,146,0.611376762,1
pySuU21NBcNpM0mr3_bggg,['Indian'],3,178,0.605551064,1
